userid,movieid,rating
36683,3741,4.0
16712,4082,2.5
131952,116161,2.5
147475,8360,4.0
131743,42004,4.0
181378,1219,4.0
159410,275245,4.0
146655,7942,3.5
92304,1226,4.5
183880,1020,3.0
112602,122892,2.5
37316,1210,3.5
49305,86882,4.0
85921,106920,4.5
38318,25,3.0
48454,5391,1.5
171461,229,3.0
143910,356,3.5
67847,33004,1.5
6002,53996,2.5
175254,1007,3.0
3722,778,3.5
65639,377,3.0
22357,6297,3.0
19805,8423,3.0
50251,1992,3.0
139651,6966,4.5
59,3793,4.0
86255,106489,3.0
25658,7151,2.0
24949,1089,2.0
188642,3074,3.0
166116,1527,3.5
158483,3638,2.5
50810,4886,4.0
151929,3593,0.5
95930,1387,5.0
107525,3706,4.0
82137,5151,2.5
145444,60397,3.0
194297,5438,3.0
75498,7143,2.5
8318,8529,4.5
136006,8360,3.0
21013,923,2.0
39889,102445,3.5
169834,3994,2.0
20295,3967,4.5
44529,91077,3.0
4568,53972,4.0
45517,4956,3.5
10379,4878,5.0
191321,520,2.0
68396,2993,4.0
197838,5524,3.0
160828,8361,1.5
183763,3147,5.0
75708,429,4.0
121718,69122,4.0
180749,266444,2.0
133205,1126,1.0
99954,44665,4.0
120098,2690,3.5
146348,4128,4.0
116422,159405,2.5
203,80586,4.0
145471,590,3.5
102512,7361,3.5
88198,176371,1.5
138731,39,5.0
139018,4796,3.5
30424,122912,5.0
123181,50872,3.5
131172,65,2.0
199888,68358,3.5
196427,2003,2.0
16288,2677,3.0
32711,235,5.0
143068,210175,2.5
63707,155509,4.5
82445,1270,2.5
123637,1258,5.0
43719,79132,4.5
154617,3979,4.0
140491,969,4.5
121898,507,2.5
118925,3300,3.5
49060,81845,4.5
41219,2021,3.5
189214,2706,4.0
5832,2948,4.0
34919,103372,4.0
166368,4011,4.0
19198,2762,5.0
19243,1961,5.0
146118,3067,4.0
10531,52604,4.0
66643,5459,4.0
85095,866,2.0
14741,585,1.0
162637,234,3.0
142660,65577,3.5
159371,2959,5.0
146744,2076,3.0
75303,2174,4.5
5425,1647,3.0
52603,6663,3.5
122723,2303,3.0
142976,6377,4.0
84016,1272,4.5
189556,1037,2.0
181856,27249,0.5
68947,1320,3.0
123110,337,4.0
140838,208,3.0
184673,7,4.0
37822,6021,4.0
152948,592,4.0
45585,3623,2.5
182417,4487,3.0
183499,1221,5.0
200722,32298,3.0
42122,2951,4.0
150861,541,4.5
96982,2959,4.5
88656,3471,4.0
74144,4874,4.0
128844,54997,4.0
184134,2395,3.0
183364,1485,1.0
123613,7076,4.0
100016,4308,1.0
26769,32677,3.0
33952,4148,2.5
194343,117529,4.0
137656,62849,4.5
141322,6581,3.5
132690,3798,4.0
122722,253,4.0
24149,54648,3.0
142519,8641,1.0
184199,6537,2.0
170142,1252,5.0
51103,1103,3.5
49228,26750,3.5
189615,4855,3.5
45114,114180,5.0
79981,56587,3.5
116492,593,4.0
105746,82041,4.5
79551,2356,2.0
177526,1587,3.5
150073,59369,4.5
51405,1518,4.0
27342,4343,3.0
46355,367,4.0
164873,2722,2.5
100356,724,5.0
87177,261,5.0
21615,4091,4.0
407,1707,3.0
24374,2692,3.0
100769,45658,2.0
88452,2719,2.5
190135,708,4.0
90226,265,4.0
10202,192341,3.0
189860,1129,5.0
122089,110,3.5
101982,3362,4.0
175235,1544,3.0
168724,3275,4.0
32980,2001,3.0
122287,1777,3.0
25049,101864,3.0
101704,4886,3.5
82892,73017,4.0
181013,54978,4.0
117579,84952,4.0
141567,4369,3.5
77092,103755,4.0
82192,953,3.5
58527,1399,3.5
82047,5995,5.0
183869,27773,4.5
131971,112623,3.5
107471,84601,4.5
20574,252,2.0
136167,41566,4.0
188204,4367,2.5
20112,1690,2.0
135429,153,3.0
101499,31547,4.0
3953,62293,2.0
27900,2194,3.0
98169,87222,5.0
59237,104841,5.0
178405,8623,4.5
109261,3000,5.0
119378,25,5.0
124121,260,4.0
28340,2653,3.0
180168,188301,5.0
107189,4370,5.0
119687,4963,3.5
188671,4223,3.0
170188,4963,3.5
125729,106920,4.5
100838,1721,3.0
65939,562,2.0
185506,592,2.0
183824,984,4.0
174835,4226,3.5
92663,7360,3.0
181633,3949,5.0
42345,1346,3.0
51158,209949,3.0
72642,2336,5.0
15658,1183,0.5
46999,2058,4.0
60944,2194,4.0
151922,7147,3.5
138395,5952,5.0
9108,3105,3.0
108437,2232,4.5
93182,497,5.0
115075,4422,4.0
138825,5502,4.0
38847,921,3.0
125293,480,3.0
110209,74754,1.5
120098,6,3.5
53819,290573,4.0
98941,5301,3.0
106589,2333,4.5
92030,904,4.5
131933,1682,4.5
166877,5574,5.0
30856,32840,4.5
181635,1291,3.0
99550,1625,5.0
105295,2856,3.0
193748,8529,4.5
75991,101,4.0
12990,53125,3.5
30741,2490,4.0
109934,553,2.5
103593,93475,3.5
127294,126142,3.0
70453,60,5.0
14062,1214,4.0
168724,1078,4.0
65400,1884,1.0
171645,2396,3.5
139226,833,5.0
41359,64034,3.0
101925,7004,3.0
68459,223944,3.5
140224,2598,4.0
137715,2467,4.0
43771,4344,5.0
14768,6870,3.5
84629,89,2.5
153610,4308,3.5
173969,750,0.5
110014,89904,5.0
91407,1213,4.0
33262,3263,3.5
157252,187595,2.5
19873,4091,5.0
193155,135,5.0
156770,562,4.0
153812,44665,1.5
47213,267,3.0
140878,2194,5.0
50874,955,5.0
143892,1542,5.0
85720,44195,3.0
4945,733,3.0
102560,5255,3.0
121169,150,5.0
12042,3996,4.0
123480,4718,3.5
92221,53993,4.0
200758,551,5.0
176946,68954,4.0
29022,116887,3.5
87080,33794,5.0
6739,36,4.0
104533,366,3.0
196413,32587,3.5
59527,152970,2.5
188599,58559,4.5
183122,780,4.0
63100,192389,4.0
116786,60894,3.0
125580,1885,1.5
103565,77561,4.5
168710,82,5.0
26859,108932,3.5
200726,197179,4.0
84584,1297,4.0
116156,1225,5.0
171610,180497,4.5
87329,169864,4.0
159655,52806,3.5
76826,367,1.0
197109,344,2.0
86889,31349,3.5
134867,2355,4.5
35899,6944,3.5
59198,3705,3.0
118920,480,3.5
124436,1515,4.0
160756,4963,5.0
10202,85538,4.5
191389,106983,3.5
132558,195165,2.0
8720,2363,2.5
73370,1033,2.5
161344,969,4.0
79211,923,5.0
103252,1236,5.0
148825,3826,3.0
30465,6377,4.0
146383,2944,5.0
139095,4338,4.0
40515,4239,3.5
60568,4815,3.0
181048,5618,5.0
93946,953,4.5
1778,84152,4.0
157582,5900,0.5
72389,3793,2.0
196781,136469,3.0
97352,3301,3.0
40388,3156,3.0
64946,293,5.0
67036,90522,3.5
42371,2688,2.5
122279,784,3.0
39130,6947,4.0
121568,780,3.5
1947,231,3.5
3130,7318,5.0
55475,65261,4.0
149190,2301,2.0
183224,327,1.0
120646,96367,3.0
93349,2799,0.5
46162,328,2.0
172870,205156,3.5
192633,8874,3.0
140764,1302,5.0
134867,106491,3.0
37715,59784,2.0
116997,1527,3.5
147903,4587,2.5
146887,116797,5.0
6963,1277,4.0
178354,596,4.0
82311,103228,3.0
182732,2439,3.5
129716,1682,4.5
172032,374,3.0
89285,145,3.0
81381,4105,4.5
163299,590,5.0
115985,89745,4.5
2819,1918,2.0
51765,227,3.0
98761,3753,3.0
61981,5137,4.0
43281,6711,3.0
62722,2628,4.5
179470,942,4.0
152894,2772,3.0
79301,3654,4.0
40597,6378,3.0
9204,3424,4.0
138226,1573,3.0
45539,3362,3.0
156926,185,2.0
182022,1197,4.5
82670,51077,5.0
115985,79132,5.0
44482,2993,4.0
184765,5291,4.5
140953,207,3.0
45050,5812,4.0
115630,2291,3.0
10461,858,2.0
10312,1206,5.0
147641,5534,4.0
152574,1644,3.0
159737,2470,4.5
163115,6880,0.5
42928,1086,4.0
17835,2303,4.0
55795,2657,5.0
104742,57669,3.5
57402,541,4.0
121418,44657,4.5
22054,194016,4.0
180056,4995,3.5
13796,6537,3.0
59465,1432,5.0
156840,339,3.0
110754,253690,2.0
151190,1374,4.0
149607,68319,4.5
163758,2108,2.0
90477,1281,4.0
140735,289,3.0
169291,27660,3.5
80304,3793,3.5
178385,4698,3.0
62349,2179,2.0
147144,8798,3.5
188285,1084,3.0
25808,77866,4.5
19280,3565,3.0
165364,278114,0.5
171818,1982,3.0
69700,2150,5.0
137761,3591,3.0
156701,7325,3.5
44741,91529,3.0
55811,122922,3.5
187066,8917,3.5
174778,367,3.5
83613,3793,3.0
52313,197311,2.0
100351,1544,2.0
152186,1101,4.0
81630,1293,4.5
25911,5298,3.0
143173,991,3.0
44468,3827,3.0
154359,440,3.0
107056,62081,4.0
188855,44555,4.0
120147,2617,2.0
183982,508,3.0
52086,134130,3.0
92264,97172,3.5
162621,203557,3.0
4518,2300,3.5
14072,2716,4.0
148106,919,5.0
142977,19,2.0
54063,1625,3.5
15679,79293,3.5
37799,5989,4.0
103925,160020,5.0
198826,88125,3.0
61318,1197,4.0
109440,21,4.0
90681,68954,4.0
175267,413,2.0
188307,30707,3.0
151727,2378,2.5
31374,83219,2.5
199782,3098,3.0
94332,161131,3.5
159919,1515,3.0
16217,68237,5.0
81810,3792,3.0
14320,2001,3.0
77308,3344,3.5
7507,56775,3.0
158048,115149,3.5
142988,339,2.5
129536,1399,4.0
143336,292,4.0
64718,6365,3.0
64325,2,1.5
61070,593,3.5
171795,81564,3.5
138103,31900,4.0
113236,586,2.0
39856,134130,3.0
122008,4483,2.0
179080,5899,4.0
37958,3948,4.0
151381,92422,3.0
123823,296,3.5
169291,46430,2.0
42479,541,5.0
58645,5418,4.5
92059,1200,4.0
196753,1240,5.0
131869,2383,2.5
8289,1235,4.0
192645,1707,3.5
12743,4161,1.0
19293,480,4.0
34848,356,5.0
185933,648,3.5
14662,3409,4.0
193602,44191,4.0
94545,4248,2.5
35010,2824,4.0
164488,5952,3.5
68439,3671,3.0
181411,165,1.5
